"name_ovd","address","coordinate_google","coordinate_yandex"
"Москва | ФКУ «КП № 2 УФСИН по Московской области»","ул. Панфилова, 21, Зеленоград, Москва, Россия, 124575","55.985637,37.170452","55.989139,37.166924"
"ФКУ СИЗО-1 УФСИН России по г. Москве (Матросская тишина) | Москва","ул. Матросская Тишина, 18, Москва, Россия, 107076","55.791946,37.697338","55.791704,37.697181"
"ФКУ СИЗО-1 ФСИН России (Кремлевский централ) | Москва","ул. Матросская Тишина, 18, Москва, Россия, 107076","55.791946,37.697338","55.791704,37.697181"
"ФКУ СИЗО-2 УФСИН России по г. Москве (Бутырка) | Москва","Новослободская ул., 45, Москва, Россия, 127055","55.785176,37.595278","55.783068,37.593399"
"ФКУ СИЗО-2 ФСИН России (Лефортово) | Москва","ул. Лефортовский Вал, дом 5, Москва, Россия, 111250","55.761343,37.70561","55.761421,37.705796"
"ФКУ СИЗО-3 УФСИН России по г. Москве (Пресня) | Москва","1-й Силикатный пр-д, 11, Москва, Россия, 123007","55.765471,37.513184","55.764572,37.515227"
"ФКУ СИЗО-4 УФСИН России по г. Москве (Медведь) | Москва","Вилюйская ул., 4, Москва, Россия, 127081","55.88168,37.629497","55.881455,37.631631"
"ФКУ СИЗО-5 УФСИН России по г. Москве (Водник) | Москва","Выборгская ул., 20, Москва, Россия, 125130","55.835116,37.497737","55.834401,37.498914"
"ФКУ СИЗО-6 УФСИН России по г. Москве (Печатники) | Москва","Шоссейная ул., 92, Москва, Россия, 109383","55.666769,37.721155","55.664857,37.719064"
"ФКУ СИЗО-7 УФСИН России по г. Москве (Капотня) | Москва","ул. Верхние Поля, 57, Москва, Россия, 109382","55.657626,37.800884","55.661557,37.802787"
"ФКУ СИЗО-12 УФСИН России по г. Москве | Москва","ул. Панфилова, 21, Зеленоград, Москва, Россия, 124575","55.985637,37.170452","55.989139,37.166924"
"пос. Ульяновка | ФКУ «ИК № 2 УФСИН России по СПб и ЛО»","пос, Ульяновское ш., 76, Ульяновка, Ленинградская обл., Россия, 187010","59.620797,30.74873","59.620808,30.748838"
"Санкт-Петербург | ФКУ «ИК № 5 УФСИН России по СПб и ЛО»","1-й пр-д, 1, Санкт-Петербург, Россия, 196641","59.805805,30.512028","59.805124,30.551676"
"Санкт-Петербург | ФКУ «ИК № 6 УФСИН России по СПб и ЛО»","Грузовой пр-д, 7, Санкт-Петербург, Россия, 192288","59.841891,30.436677","59.84183,30.436718"
"Санкт-Петербург | ФКУ «ИК № 7 УФСИН России по СПб и ЛО»","ул. Латышских Стрелков, 22, Санкт-Петербург, Россия, 193318","59.932005,30.447948","59.931197,30.449133"
"Санкт-Петербург | ФКУ «КП № 8 УФСИН России по СПб и ЛО»","ул. Академика Лебедева, 39, Санкт-Петербург, Россия, 195009","59.96284,30.357129","59.962823,30.35755"
"ФКУ СИЗО-1 УФСИН России по Санкт-Петербургу и Ленинградской области Кресты | Ленинградская область, Санкт-Петербург","Колпинская ул., д.9, Санкт-Петербург, Россия, 196655","59.750087,30.621854","59.738715,30.631608"
"ФКУ СИЗО-3 УФСИН России по Санкт-Петербургу и Ленинградской области | Ленинградская область, Санкт-Петербург","Резервная ул., 2, Выборг, Ленинградская обл., Россия, 188800","60.715136,28.768261","60.715161,28.768233"
"ФКУ СИЗО-3 ФСИН России | Санкт-Петербург","Шпалерная ул., 25, Санкт-Петербург, Россия, 191123","59.948819,30.351162","59.948924,30.351621"
"ФКУ СИЗО-4 УФСИН России по г. Санкт-Петербургу и Ленинградской области | Ленинградская область, Санкт-Петербург","ул. Академика Лебедева, 39, Санкт-Петербург, Россия, 195009","59.96284,30.357129","59.962823,30.35755"
"ФКУ СИЗО-5 УФСИН России по г. Санкт-Петербургу и Ленинградской области | Ленинградская область, Санкт-Петербург","Арсенальная ул., 11, Санкт-Петербург, Россия, 195009","59.960904,30.371379","59.953169,30.359544"
"ФКУ СИЗО-6 УФСИН России по г. Санкт-Петербургу и Ленинградской области — «Горелово» | Ленинградская область, Санкт-Петербург","Заречная ул., 22, Санкт-Петербург, Россия, 190000","59.788823,30.60677","59.768323,30.163074"
"п. Тлюстенхабль | ФКУ «ИК № 1 УФСИН России по Республике Адыгея»","ул. Ленина, 28, Тлюстенхабль, Республика Адыгея, Россия, 385228","44.984685,39.099003","44.983038,39.101724"
"ФКУ СИЗО-2 УФСИН России по Республике Адыгея | Республика Адыгея","ул. Ленина, 28, Тлюстенхабль, Республика Адыгея, Россия, 385228","44.984685,39.099003","44.983038,39.101724"
"Барнаул | ФКУ «ИК № 3 УФСИН России по Алтайскому краю»","ул. Куета, 29, Барнаул, Алтайский край, Россия, 656905","53.310739,83.648747","53.310791,83.648748"
"Рубцовск | ФКУ «ИК № 5 УФСИН России по Алтайскому краю»","Тракторная улица, д. 23, Рубцовск, Алтайский край, Россия, 658204","51.550166,81.20964","51.552131,81.215993"
"с. Шипуново | ФКУ «ИК № 6 УФСИН России по Алтайскому краю»","Заводская ул., 48А, село Шипуново, Алтайский Край, Россия, 658390","52.225517,82.269083","52.22055,82.287351"
"Рубцовск | ФКУ «ИК № 10 УФСИН России по Алтайскому краю»","Тракторная ул., 26А, Рубцовск, Алтайский Край, Россия, 658209","51.530344,81.214022","51.555452,81.207172"
"Барнаул | ФКЛПУ «КТБ № 12 УФСИН России по Алтайскому краю»","пр. Канатный, 83, Барнаул, Алтайский край, Россия, 656021","53.310276,83.739485","53.309672,83.739244"
"Барнаул | ФКУ «ЛИУ № 1 УФСИН России по Алтайскому краю»","9-й Заводской пр-д, 44, Барнаул, Алтайский край, Россия, 656023","53.394134,83.705067","53.393934,83.705458"
"ФКУ СИЗО-1 УФСИН России по Алтайскому краю | Алтайский край","пр. Канатный, 81, Барнаул, Алтайский край, Россия, 656021","53.310326,83.741628","53.310253,83.742343"
"ФКУ СИЗО-2 УФСИН России по Алтайскому краю | Алтайский край","Чехова, 2, Бийск, Алтайский край, Россия, 659326","52.541258,85.186201","52.541904,85.188828"
"ФКУ СИЗО-4 УФСИН России по Алтайскому краю | Алтайский край","ул. Тракторная, 26, Рубцовск, Алтайский край, Россия, 658204","51.530923,81.213581","51.553962,81.212292"
"с. Возжаевка | ФКУ «ИК № 2 УФСИН России по Амурской области»","улица Центральная, село Возжаевка, Амурская область, 676811","50.731985,128.714784","50.738577,128.706212"
"с. Среднебелая | ФКУ «ИК № 3 УФСИН России по Амурской области»","ул. Герки Рулёва, 2, село Среднебелая, Амурская обл., Россия, 676910","50.661849,127.999481","50.659674,127.993417"
"Благовещенск | ФКУ «ИК № 8 УФСИН России по Амурской области»","Албазинская улица, 45, Благовещенск, Амурская область, Россия, 675020","50.32874,127.582999","50.331116,127.547987"
"ФКУ СИЗО-1 УФСИН России по Амурской области | Амурская область","Серышевский переулок, 55, Благовещенск, Амурская область, Россия, 675007","50.271134,127.505913","50.269152,127.491519"
"Архангельск | ФКУ «Архангельская ВК УФСИН России по Архангельской области»","поселок Талаги, д. 112, Архангельская область, 163530","64.614295,40.62922","64.616295,40.627854"
"Архангельск | ФКУ «ИК № 1 УФСИН России по Архангельской области»","Пирсовая улица, 27, Архангельск, 163050","64.515663,40.525031","64.512933,40.52762"
"Котлас | ФКУ «ИК № 4 УФСИН России по Архангельской области»","ул. Чиркова, 35, Котлас, Архангельская обл., Россия, 165302","61.249347,46.683703","61.249344,46.683667"
"Коряжма | ФКУ «ИК № 5 УФСИН России по Архангельской области»","дор Магистральное шоссе, д. 101 , Коряжма, Архангельская обл., Россия, 165650","61.292936,47.115942","61.264651,47.045903"
"Архангельск | ФКУ «ИК № 7 УФСИН России по Архангельской области»","Лахтинское ш., 105, Архангельск, Архангельская обл., Россия, 163039","64.417872,40.639235","64.417851,40.639325"
"д. Горка-Муравьевская | ФКУ «ИК № 14 УФСИН России по Архангельской области»","улица Спецгородок, 1А, деревня Горка-Муравьёвская, Архангельская область, 165115","61.102254,42.136517","61.107389,42.121842"
"п. Североонежск | ФКУ «ИК № 21 УФСИН России по Архангельской области»","2-ой мкрн., 10, Североонежск, Архангельская обл., Россия, 164268","62.591268,39.838133","62.591274,39.83872"
"п. Ерцево | ФКУ «ИК № 28 УФСИН России по Архангельской области»","ул. Гагарина, д. 26 , посёлок Ерцево, Архангельская область, 164000","60.791737,40.082525","60.798126,40.084095"
"п. Талаги | ФКУ «КП № 3 УФСИН России по Архангельской области»","поселок Талаги, д. 119, Архангельская область, 163530","64.614295,40.62922","64.613117,40.63425"
"Архангельск | ФКУ «ОБ УФСИН России по Архангельской области»","Онежская ул., 22, Архангельск, Архангельская обл., Россия, 163050","64.515539,40.551544","64.516013,40.550626"
"ФКУ СИЗО-1 УФСИН России по Архангельской области | Архангельская область","ул. Попова, 22, Архангельск, Архангельская обл., Россия, 163000","64.545687,40.52594","64.5459,40.526227"
"ФКУ СИЗО-3 УФСИН России по Архангельской области | Архангельская область","ул. Конева, 1, Вельск, Архангельская обл., Россия, 165150","61.082804,42.116684","61.082687,42.116659"
"ФКУ СИЗО-4 УФСИН России по Архангельской области | Архангельская область","ул. Силикатчиков, д.20, Архангельск, Архангельская обл., Россия, 163058","64.487591,40.766017","64.487504,40.764613"
"Астрахань | ФКУ ИК-6 УФСИН России по Астраханской области","ул. Рождественского, 6, Астрахань, Астраханская обл., Россия, 414057","46.314045,48.045327","46.320777,48.042809"
"Астрахань | ФКУ ИК-8 УФСИН России по Астраханской области","ул. Советской Гвардии, 50, Астрахань, Астраханская обл., Россия, 414044","46.450682,47.965267","46.450682,47.965338"
"Астрахань | ФКУ ИК-10 УФСИН России по Астраханской области","ул. Фунтовское ш., 25, Астрахань, Астраханская обл., Россия, 414057","46.308854,48.044396","46.309,48.044291"
"ФКУ СИЗО-1 УФСИН России по Астраханской области | Астраханская область","пер-лок Буровский, 2, Астрахань, Астраханская обл., Россия, 414000","46.348969,48.034425","46.346015,48.028534"
"ФКУ СИЗО-2 УФСИН России по Астраханской области | Астраханская область","ул. Береговая, д. 7, г. Нариманов, Астраханская обл., Россия, 416111","46.690487,47.853539","46.661729,47.873791"
